"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2669","Filter by Price on product details @Functional","firefox","Sat Nov 23 00:36:32 GMT 2024","passed","Sat Nov 23 00:36:35 GMT 2024","","test.spec.js","",""
"","3739","Change perPage @Crash","firefox","Sat Nov 23 00:36:09 GMT 2024","passed","Sat Nov 23 00:36:13 GMT 2024","","test.spec.js","",""
"","4229","Choose Product in hot item @Perfomance","firefox","Sat Nov 23 00:36:20 GMT 2024","passed","Sat Nov 23 00:36:25 GMT 2024","","test.spec.js","",""
"","4257","Check manufacturer link @Functional","firefox","Sat Nov 23 00:36:25 GMT 2024","passed","Sat Nov 23 00:36:29 GMT 2024","","test.spec.js","",""
"","6975","Retrieve password @Crash","firefox","Sat Nov 23 00:36:38 GMT 2024","passed","Sat Nov 23 00:36:45 GMT 2024","","test.spec.js","",""
"","3306","Choose product with select options @Crash","firefox","Sat Nov 23 00:36:29 GMT 2024","passed","Sat Nov 23 00:36:32 GMT 2024","","test.spec.js","",""
"","3716","Select currency @Crash","firefox","Sat Nov 23 00:36:13 GMT 2024","passed","Sat Nov 23 00:36:17 GMT 2024","","test.spec.js","",""
"","3419","Check product description @Content","firefox","Sat Nov 23 00:36:35 GMT 2024","passed","Sat Nov 23 00:36:38 GMT 2024","","test.spec.js","",""
"","3245","Send post comment @Crash","firefox","Sat Nov 23 00:36:17 GMT 2024","passed","Sat Nov 23 00:36:20 GMT 2024","","test.spec.js","",""
