"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4985","Check manufacturer link @Functional","firefox","Thu Jan 09 00:37:52 GMT 2025","passed","Thu Jan 09 00:37:57 GMT 2025","","test.spec.js","",""
"","13521","Change perPage @Crash","firefox","Thu Jan 09 00:36:37 GMT 2025","failed","Thu Jan 09 00:36:51 GMT 2025","","test.spec.js","",""
"","3923","Check product description @Content","firefox","Thu Jan 09 00:38:22 GMT 2025","passed","Thu Jan 09 00:38:26 GMT 2025","","test.spec.js","",""
"","6355","Choose Product in hot item @Perfomance","firefox","Thu Jan 09 00:37:45 GMT 2025","passed","Thu Jan 09 00:37:51 GMT 2025","","test.spec.js","",""
"","10316","Retrieve password @Crash","firefox","Thu Jan 09 00:38:26 GMT 2025","passed","Thu Jan 09 00:38:37 GMT 2025","","test.spec.js","",""
"","14243","Send post comment @Crash","firefox","Thu Jan 09 00:37:29 GMT 2025","failed","Thu Jan 09 00:37:43 GMT 2025","","test.spec.js","",""
"","5169","Select currency @Crash","firefox","Thu Jan 09 00:36:52 GMT 2025","passed","Thu Jan 09 00:36:57 GMT 2025","","test.spec.js","",""
"","6127","Choose product with select options @Crash","firefox","Thu Jan 09 00:38:12 GMT 2025","passed","Thu Jan 09 00:38:18 GMT 2025","","test.spec.js","",""
"","3796","Filter by Price on product details @Functional","firefox","Thu Jan 09 00:38:19 GMT 2025","passed","Thu Jan 09 00:38:22 GMT 2025","","test.spec.js","",""
