"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2949","Send post comment @Crash","firefox","Wed Dec 18 00:38:07 GMT 2024","passed","Wed Dec 18 00:38:10 GMT 2024","","test.spec.js","",""
"","3483","Select currency @Crash","firefox","Wed Dec 18 00:38:04 GMT 2024","passed","Wed Dec 18 00:38:07 GMT 2024","","test.spec.js","",""
"","2928","Filter by Price on product details @Functional","firefox","Wed Dec 18 00:38:22 GMT 2024","passed","Wed Dec 18 00:38:25 GMT 2024","","test.spec.js","",""
"","3362","Choose product with select options @Crash","firefox","Wed Dec 18 00:38:19 GMT 2024","passed","Wed Dec 18 00:38:22 GMT 2024","","test.spec.js","",""
"","4743","Choose Product in hot item @Perfomance","firefox","Wed Dec 18 00:38:10 GMT 2024","passed","Wed Dec 18 00:38:15 GMT 2024","","test.spec.js","",""
"","7168","Retrieve password @Crash","firefox","Wed Dec 18 00:38:29 GMT 2024","passed","Wed Dec 18 00:38:36 GMT 2024","","test.spec.js","",""
"","3197","Check product description @Content","firefox","Wed Dec 18 00:38:25 GMT 2024","passed","Wed Dec 18 00:38:29 GMT 2024","","test.spec.js","",""
"","3949","Change perPage @Crash","firefox","Wed Dec 18 00:37:59 GMT 2024","passed","Wed Dec 18 00:38:03 GMT 2024","","test.spec.js","",""
"","4328","Check manufacturer link @Functional","firefox","Wed Dec 18 00:38:15 GMT 2024","passed","Wed Dec 18 00:38:19 GMT 2024","","test.spec.js","",""
