"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3050","Choose product with select options @Crash","firefox","Mon Dec 30 00:39:36 GMT 2024","passed","Mon Dec 30 00:39:39 GMT 2024","","test.spec.js","",""
"","2519","Filter by Price on product details @Functional","firefox","Mon Dec 30 00:39:39 GMT 2024","passed","Mon Dec 30 00:39:41 GMT 2024","","test.spec.js","",""
"","3603","Select currency @Crash","firefox","Mon Dec 30 00:38:39 GMT 2024","passed","Mon Dec 30 00:38:42 GMT 2024","","test.spec.js","",""
"","12502","Change perPage @Crash","firefox","Mon Dec 30 00:38:25 GMT 2024","failed","Mon Dec 30 00:38:37 GMT 2024","","test.spec.js","",""
"","13261","Send post comment @Crash","firefox","Mon Dec 30 00:39:13 GMT 2024","failed","Mon Dec 30 00:39:26 GMT 2024","","test.spec.js","",""
"","4472","Choose Product in hot item @Perfomance","firefox","Mon Dec 30 00:39:28 GMT 2024","passed","Mon Dec 30 00:39:32 GMT 2024","","test.spec.js","",""
"","3031","Check product description @Content","firefox","Mon Dec 30 00:39:41 GMT 2024","passed","Mon Dec 30 00:39:44 GMT 2024","","test.spec.js","",""
"","6548","Retrieve password @Crash","firefox","Mon Dec 30 00:39:44 GMT 2024","passed","Mon Dec 30 00:39:51 GMT 2024","","test.spec.js","",""
"","3474","Check manufacturer link @Functional","firefox","Mon Dec 30 00:39:32 GMT 2024","passed","Mon Dec 30 00:39:36 GMT 2024","","test.spec.js","",""
