"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3267","Select currency @Crash","firefox","Sat Nov 30 00:37:20 GMT 2024","passed","Sat Nov 30 00:37:23 GMT 2024","","test.spec.js","",""
"","4340","Choose Product in hot item @Perfomance","firefox","Sat Nov 30 00:37:26 GMT 2024","passed","Sat Nov 30 00:37:31 GMT 2024","","test.spec.js","",""
"","3022","Send post comment @Crash","firefox","Sat Nov 30 00:37:23 GMT 2024","passed","Sat Nov 30 00:37:26 GMT 2024","","test.spec.js","",""
"","6999","Retrieve password @Crash","firefox","Sat Nov 30 00:37:44 GMT 2024","passed","Sat Nov 30 00:37:51 GMT 2024","","test.spec.js","",""
"","4254","Check manufacturer link @Functional","firefox","Sat Nov 30 00:37:31 GMT 2024","passed","Sat Nov 30 00:37:35 GMT 2024","","test.spec.js","",""
"","2574","Filter by Price on product details @Functional","firefox","Sat Nov 30 00:37:38 GMT 2024","passed","Sat Nov 30 00:37:41 GMT 2024","","test.spec.js","",""
"","2896","Check product description @Content","firefox","Sat Nov 30 00:37:41 GMT 2024","passed","Sat Nov 30 00:37:44 GMT 2024","","test.spec.js","",""
"","3389","Choose product with select options @Crash","firefox","Sat Nov 30 00:37:35 GMT 2024","passed","Sat Nov 30 00:37:38 GMT 2024","","test.spec.js","",""
"","2640","Change perPage @Crash","firefox","Sat Nov 30 00:37:17 GMT 2024","passed","Sat Nov 30 00:37:20 GMT 2024","","test.spec.js","",""
