"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3635","Check product description @Content","firefox","Fri Dec 27 00:37:20 GMT 2024","passed","Fri Dec 27 00:37:23 GMT 2024","","test.spec.js","",""
"","7241","Retrieve password @Crash","firefox","Fri Dec 27 00:37:23 GMT 2024","passed","Fri Dec 27 00:37:31 GMT 2024","","test.spec.js","",""
"","4899","Check manufacturer link @Functional","firefox","Fri Dec 27 00:37:08 GMT 2024","passed","Fri Dec 27 00:37:13 GMT 2024","","test.spec.js","",""
"","4198","Select currency @Crash","firefox","Fri Dec 27 00:36:12 GMT 2024","passed","Fri Dec 27 00:36:16 GMT 2024","","test.spec.js","",""
"","5348","Choose Product in hot item @Perfomance","firefox","Fri Dec 27 00:37:03 GMT 2024","passed","Fri Dec 27 00:37:08 GMT 2024","","test.spec.js","",""
"","3062","Filter by Price on product details @Functional","firefox","Fri Dec 27 00:37:17 GMT 2024","passed","Fri Dec 27 00:37:20 GMT 2024","","test.spec.js","",""
"","3405","Choose product with select options @Crash","firefox","Fri Dec 27 00:37:13 GMT 2024","passed","Fri Dec 27 00:37:17 GMT 2024","","test.spec.js","",""
"","13401","Change perPage @Crash","firefox","Fri Dec 27 00:35:57 GMT 2024","failed","Fri Dec 27 00:36:10 GMT 2024","","test.spec.js","",""
"","13976","Send post comment @Crash","firefox","Fri Dec 27 00:36:47 GMT 2024","failed","Fri Dec 27 00:37:01 GMT 2024","","test.spec.js","",""
