"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2953","Send post comment @Crash","firefox","Mon Dec 09 00:40:50 GMT 2024","passed","Mon Dec 09 00:40:53 GMT 2024","","test.spec.js","",""
"","3154","Check product description @Content","firefox","Mon Dec 09 00:41:07 GMT 2024","passed","Mon Dec 09 00:41:10 GMT 2024","","test.spec.js","",""
"","4412","Choose Product in hot item @Perfomance","firefox","Mon Dec 09 00:40:53 GMT 2024","passed","Mon Dec 09 00:40:57 GMT 2024","","test.spec.js","",""
"","6584","Select currency @Crash","firefox","Mon Dec 09 00:40:43 GMT 2024","passed","Mon Dec 09 00:40:50 GMT 2024","","test.spec.js","",""
"","6952","Retrieve password @Crash","firefox","Mon Dec 09 00:41:10 GMT 2024","passed","Mon Dec 09 00:41:17 GMT 2024","","test.spec.js","",""
"","2788","Filter by Price on product details @Functional","firefox","Mon Dec 09 00:41:04 GMT 2024","passed","Mon Dec 09 00:41:07 GMT 2024","","test.spec.js","",""
"","2701","Change perPage @Crash","firefox","Mon Dec 09 00:40:40 GMT 2024","passed","Mon Dec 09 00:40:43 GMT 2024","","test.spec.js","",""
"","3862","Check manufacturer link @Functional","firefox","Mon Dec 09 00:40:57 GMT 2024","passed","Mon Dec 09 00:41:01 GMT 2024","","test.spec.js","",""
"","3329","Choose product with select options @Crash","firefox","Mon Dec 09 00:41:01 GMT 2024","passed","Mon Dec 09 00:41:04 GMT 2024","","test.spec.js","",""
