"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6999","Retrieve password @Crash","firefox","Sun Dec 01 00:46:27 GMT 2024","passed","Sun Dec 01 00:46:34 GMT 2024","","test.spec.js","",""
"","2559","Filter by Price on product details @Functional","firefox","Sun Dec 01 00:46:21 GMT 2024","passed","Sun Dec 01 00:46:24 GMT 2024","","test.spec.js","",""
"","3212","Check product description @Content","firefox","Sun Dec 01 00:46:24 GMT 2024","passed","Sun Dec 01 00:46:27 GMT 2024","","test.spec.js","",""
"","3517","Select currency @Crash","firefox","Sun Dec 01 00:46:04 GMT 2024","passed","Sun Dec 01 00:46:07 GMT 2024","","test.spec.js","",""
"","4189","Choose Product in hot item @Perfomance","firefox","Sun Dec 01 00:46:10 GMT 2024","passed","Sun Dec 01 00:46:15 GMT 2024","","test.spec.js","",""
"","2761","Change perPage @Crash","firefox","Sun Dec 01 00:46:01 GMT 2024","passed","Sun Dec 01 00:46:04 GMT 2024","","test.spec.js","",""
"","3187","Choose product with select options @Crash","firefox","Sun Dec 01 00:46:18 GMT 2024","passed","Sun Dec 01 00:46:21 GMT 2024","","test.spec.js","",""
"","3578","Check manufacturer link @Functional","firefox","Sun Dec 01 00:46:15 GMT 2024","passed","Sun Dec 01 00:46:18 GMT 2024","","test.spec.js","",""
"","2933","Send post comment @Crash","firefox","Sun Dec 01 00:46:07 GMT 2024","passed","Sun Dec 01 00:46:10 GMT 2024","","test.spec.js","",""
