"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2279","Filter by Price on product details @Functional","firefox","Sat Dec 07 00:38:54 GMT 2024","passed","Sat Dec 07 00:38:56 GMT 2024","","test.spec.js","",""
"","3558","Check manufacturer link @Functional","firefox","Sat Dec 07 00:38:30 GMT 2024","passed","Sat Dec 07 00:38:34 GMT 2024","","test.spec.js","",""
"","2868","Check product description @Content","firefox","Sat Dec 07 00:38:56 GMT 2024","passed","Sat Dec 07 00:38:59 GMT 2024","","test.spec.js","",""
"","2914","Send post comment @Crash","firefox","Sat Dec 07 00:38:24 GMT 2024","passed","Sat Dec 07 00:38:26 GMT 2024","","test.spec.js","",""
"","4415","Choose product with select options @Crash","firefox","Sat Dec 07 00:38:49 GMT 2024","passed","Sat Dec 07 00:38:53 GMT 2024","","test.spec.js","",""
"","3385","Select currency @Crash","firefox","Sat Dec 07 00:38:20 GMT 2024","passed","Sat Dec 07 00:38:24 GMT 2024","","test.spec.js","",""
"","6916","Retrieve password @Crash","firefox","Sat Dec 07 00:38:59 GMT 2024","passed","Sat Dec 07 00:39:06 GMT 2024","","test.spec.js","",""
"","3891","Choose Product in hot item @Perfomance","firefox","Sat Dec 07 00:38:26 GMT 2024","passed","Sat Dec 07 00:38:30 GMT 2024","","test.spec.js","",""
"","2518","Change perPage @Crash","firefox","Sat Dec 07 00:38:17 GMT 2024","passed","Sat Dec 07 00:38:20 GMT 2024","","test.spec.js","",""
