"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4179","Select currency @Crash","firefox","Fri Jan 17 00:35:31 GMT 2025","passed","Fri Jan 17 00:35:35 GMT 2025","","test.spec.js","",""
"","12808","Retrieve password @Crash","firefox","Fri Jan 17 00:36:47 GMT 2025","passed","Fri Jan 17 00:37:00 GMT 2025","","test.spec.js","",""
"","12681","Change perPage @Crash","firefox","Fri Jan 17 00:35:17 GMT 2025","failed","Fri Jan 17 00:35:30 GMT 2025","","test.spec.js","",""
"","4343","Check product description @Content","firefox","Fri Jan 17 00:36:43 GMT 2025","passed","Fri Jan 17 00:36:47 GMT 2025","","test.spec.js","",""
"","13683","Send post comment @Crash","firefox","Fri Jan 17 00:36:07 GMT 2025","failed","Fri Jan 17 00:36:20 GMT 2025","","test.spec.js","",""
"","6076","Check manufacturer link @Functional","firefox","Fri Jan 17 00:36:29 GMT 2025","passed","Fri Jan 17 00:36:35 GMT 2025","","test.spec.js","",""
"","6575","Choose Product in hot item @Perfomance","firefox","Fri Jan 17 00:36:22 GMT 2025","passed","Fri Jan 17 00:36:28 GMT 2025","","test.spec.js","",""
"","3867","Choose product with select options @Crash","firefox","Fri Jan 17 00:36:35 GMT 2025","passed","Fri Jan 17 00:36:39 GMT 2025","","test.spec.js","",""
"","4306","Filter by Price on product details @Functional","firefox","Fri Jan 17 00:36:39 GMT 2025","passed","Fri Jan 17 00:36:43 GMT 2025","","test.spec.js","",""
