"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2834","Filter by Price on product details @Functional","firefox","Sat Dec 21 00:37:23 GMT 2024","passed","Sat Dec 21 00:37:26 GMT 2024","","test.spec.js","",""
"","3796","Select currency @Crash","firefox","Sat Dec 21 00:36:21 GMT 2024","passed","Sat Dec 21 00:36:25 GMT 2024","","test.spec.js","",""
"","7243","Retrieve password @Crash","firefox","Sat Dec 21 00:37:29 GMT 2024","passed","Sat Dec 21 00:37:37 GMT 2024","","test.spec.js","",""
"","12530","Change perPage @Crash","firefox","Sat Dec 21 00:36:07 GMT 2024","failed","Sat Dec 21 00:36:20 GMT 2024","","test.spec.js","",""
"","5402","Choose Product in hot item @Perfomance","firefox","Sat Dec 21 00:37:11 GMT 2024","passed","Sat Dec 21 00:37:17 GMT 2024","","test.spec.js","",""
"","3515","Check manufacturer link @Functional","firefox","Sat Dec 21 00:37:17 GMT 2024","passed","Sat Dec 21 00:37:20 GMT 2024","","test.spec.js","",""
"","3028","Check product description @Content","firefox","Sat Dec 21 00:37:26 GMT 2024","passed","Sat Dec 21 00:37:29 GMT 2024","","test.spec.js","",""
"","14001","Send post comment @Crash","firefox","Sat Dec 21 00:36:56 GMT 2024","failed","Sat Dec 21 00:37:10 GMT 2024","","test.spec.js","",""
"","3009","Choose product with select options @Crash","firefox","Sat Dec 21 00:37:20 GMT 2024","passed","Sat Dec 21 00:37:23 GMT 2024","","test.spec.js","",""
