"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3403","Check manufacturer link @Functional","firefox","Thu Dec 26 00:38:24 GMT 2024","passed","Thu Dec 26 00:38:28 GMT 2024","","test.spec.js","",""
"","3394","Check product description @Content","firefox","Thu Dec 26 00:38:33 GMT 2024","passed","Thu Dec 26 00:38:36 GMT 2024","","test.spec.js","",""
"","3033","Choose product with select options @Crash","firefox","Thu Dec 26 00:38:28 GMT 2024","passed","Thu Dec 26 00:38:31 GMT 2024","","test.spec.js","",""
"","7045","Retrieve password @Crash","firefox","Thu Dec 26 00:38:36 GMT 2024","passed","Thu Dec 26 00:38:44 GMT 2024","","test.spec.js","",""
"","13378","Send post comment @Crash","firefox","Thu Dec 26 00:38:04 GMT 2024","failed","Thu Dec 26 00:38:17 GMT 2024","","test.spec.js","",""
"","3532","Select currency @Crash","firefox","Thu Dec 26 00:37:29 GMT 2024","passed","Thu Dec 26 00:37:33 GMT 2024","","test.spec.js","",""
"","12401","Change perPage @Crash","firefox","Thu Dec 26 00:37:16 GMT 2024","failed","Thu Dec 26 00:37:28 GMT 2024","","test.spec.js","",""
"","2461","Filter by Price on product details @Functional","firefox","Thu Dec 26 00:38:31 GMT 2024","passed","Thu Dec 26 00:38:33 GMT 2024","","test.spec.js","",""
"","5038","Choose Product in hot item @Perfomance","firefox","Thu Dec 26 00:38:19 GMT 2024","passed","Thu Dec 26 00:38:24 GMT 2024","","test.spec.js","",""
