"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13245","Send post comment @Crash","firefox","Sun Dec 22 00:45:23 GMT 2024","failed","Sun Dec 22 00:45:37 GMT 2024","","test.spec.js","",""
"","7132","Retrieve password @Crash","firefox","Sun Dec 22 00:45:55 GMT 2024","passed","Sun Dec 22 00:46:02 GMT 2024","","test.spec.js","",""
"","3122","Check product description @Content","firefox","Sun Dec 22 00:45:52 GMT 2024","passed","Sun Dec 22 00:45:55 GMT 2024","","test.spec.js","",""
"","3060","Choose product with select options @Crash","firefox","Sun Dec 22 00:45:46 GMT 2024","passed","Sun Dec 22 00:45:49 GMT 2024","","test.spec.js","",""
"","3620","Check manufacturer link @Functional","firefox","Sun Dec 22 00:45:43 GMT 2024","passed","Sun Dec 22 00:45:46 GMT 2024","","test.spec.js","",""
"","4448","Choose Product in hot item @Perfomance","firefox","Sun Dec 22 00:45:38 GMT 2024","passed","Sun Dec 22 00:45:42 GMT 2024","","test.spec.js","",""
"","3735","Select currency @Crash","firefox","Sun Dec 22 00:44:49 GMT 2024","passed","Sun Dec 22 00:44:53 GMT 2024","","test.spec.js","",""
"","2497","Filter by Price on product details @Functional","firefox","Sun Dec 22 00:45:49 GMT 2024","passed","Sun Dec 22 00:45:52 GMT 2024","","test.spec.js","",""
"","12326","Change perPage @Crash","firefox","Sun Dec 22 00:44:36 GMT 2024","failed","Sun Dec 22 00:44:48 GMT 2024","","test.spec.js","",""
