"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3647","Send post comment @Crash","firefox","Tue Dec 10 00:39:32 GMT 2024","passed","Tue Dec 10 00:39:36 GMT 2024","","test.spec.js","",""
"","3263","Check product description @Content","firefox","Tue Dec 10 00:39:51 GMT 2024","passed","Tue Dec 10 00:39:54 GMT 2024","","test.spec.js","",""
"","3316","Choose product with select options @Crash","firefox","Tue Dec 10 00:39:45 GMT 2024","passed","Tue Dec 10 00:39:48 GMT 2024","","test.spec.js","",""
"","3634","Select currency @Crash","firefox","Tue Dec 10 00:39:29 GMT 2024","passed","Tue Dec 10 00:39:32 GMT 2024","","test.spec.js","",""
"","3249","Change perPage @Crash","firefox","Tue Dec 10 00:39:25 GMT 2024","passed","Tue Dec 10 00:39:28 GMT 2024","","test.spec.js","",""
"","4683","Choose Product in hot item @Perfomance","firefox","Tue Dec 10 00:39:36 GMT 2024","passed","Tue Dec 10 00:39:41 GMT 2024","","test.spec.js","",""
"","7081","Retrieve password @Crash","firefox","Tue Dec 10 00:39:54 GMT 2024","passed","Tue Dec 10 00:40:01 GMT 2024","","test.spec.js","",""
"","2882","Filter by Price on product details @Functional","firefox","Tue Dec 10 00:39:48 GMT 2024","passed","Tue Dec 10 00:39:51 GMT 2024","","test.spec.js","",""
"","4126","Check manufacturer link @Functional","firefox","Tue Dec 10 00:39:41 GMT 2024","passed","Tue Dec 10 00:39:45 GMT 2024","","test.spec.js","",""
