"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3558","Send post comment @Crash","firefox","Sun Nov 17 00:40:06 GMT 2024","passed","Sun Nov 17 00:40:09 GMT 2024","","test.spec.js","",""
"","2885","Change perPage @Crash","firefox","Sun Nov 17 00:39:58 GMT 2024","passed","Sun Nov 17 00:40:01 GMT 2024","","test.spec.js","",""
"","3757","Choose product with select options @Crash","firefox","Sun Nov 17 00:40:19 GMT 2024","passed","Sun Nov 17 00:40:22 GMT 2024","","test.spec.js","",""
"","8009","Retrieve password @Crash","firefox","Sun Nov 17 00:40:29 GMT 2024","passed","Sun Nov 17 00:40:37 GMT 2024","","test.spec.js","",""
"","4689","Check manufacturer link @Functional","firefox","Sun Nov 17 00:40:14 GMT 2024","passed","Sun Nov 17 00:40:19 GMT 2024","","test.spec.js","",""
"","4441","Select currency @Crash","firefox","Sun Nov 17 00:40:01 GMT 2024","passed","Sun Nov 17 00:40:06 GMT 2024","","test.spec.js","",""
"","3097","Filter by Price on product details @Functional","firefox","Sun Nov 17 00:40:22 GMT 2024","passed","Sun Nov 17 00:40:26 GMT 2024","","test.spec.js","",""
"","3406","Check product description @Content","firefox","Sun Nov 17 00:40:26 GMT 2024","passed","Sun Nov 17 00:40:29 GMT 2024","","test.spec.js","",""
"","4887","Choose Product in hot item @Perfomance","firefox","Sun Nov 17 00:40:09 GMT 2024","passed","Sun Nov 17 00:40:14 GMT 2024","","test.spec.js","",""
