"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3939","Choose product with select options @Crash","firefox","Mon Dec 23 00:39:16 GMT 2024","passed","Mon Dec 23 00:39:20 GMT 2024","","test.spec.js","",""
"","6622","Choose Product in hot item @Perfomance","firefox","Mon Dec 23 00:39:02 GMT 2024","passed","Mon Dec 23 00:39:08 GMT 2024","","test.spec.js","",""
"","4685","Check product description @Content","firefox","Mon Dec 23 00:39:24 GMT 2024","passed","Mon Dec 23 00:39:28 GMT 2024","","test.spec.js","",""
"","14111","Send post comment @Crash","firefox","Mon Dec 23 00:38:46 GMT 2024","failed","Mon Dec 23 00:39:00 GMT 2024","","test.spec.js","",""
"","13113","Change perPage @Crash","firefox","Mon Dec 23 00:37:56 GMT 2024","failed","Mon Dec 23 00:38:09 GMT 2024","","test.spec.js","",""
"","7303","Check manufacturer link @Functional","firefox","Mon Dec 23 00:39:09 GMT 2024","passed","Mon Dec 23 00:39:16 GMT 2024","","test.spec.js","",""
"","3580","Filter by Price on product details @Functional","firefox","Mon Dec 23 00:39:20 GMT 2024","passed","Mon Dec 23 00:39:24 GMT 2024","","test.spec.js","",""
"","10530","Retrieve password @Crash","firefox","Mon Dec 23 00:39:28 GMT 2024","passed","Mon Dec 23 00:39:39 GMT 2024","","test.spec.js","",""
"","4081","Select currency @Crash","firefox","Mon Dec 23 00:38:11 GMT 2024","passed","Mon Dec 23 00:38:15 GMT 2024","","test.spec.js","",""
