"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7151","Choose Product in hot item @Perfomance","firefox","Wed Jan 08 00:37:48 GMT 2025","passed","Wed Jan 08 00:37:56 GMT 2025","","test.spec.js","",""
"","5060","Check manufacturer link @Functional","firefox","Wed Jan 08 00:37:56 GMT 2025","passed","Wed Jan 08 00:38:01 GMT 2025","","test.spec.js","",""
"","12966","Change perPage @Crash","firefox","Wed Jan 08 00:36:43 GMT 2025","failed","Wed Jan 08 00:36:56 GMT 2025","","test.spec.js","",""
"","3588","Filter by Price on product details @Functional","firefox","Wed Jan 08 00:38:05 GMT 2025","passed","Wed Jan 08 00:38:09 GMT 2025","","test.spec.js","",""
"","4065","Choose product with select options @Crash","firefox","Wed Jan 08 00:38:01 GMT 2025","passed","Wed Jan 08 00:38:05 GMT 2025","","test.spec.js","",""
"","13736","Send post comment @Crash","firefox","Wed Jan 08 00:37:33 GMT 2025","failed","Wed Jan 08 00:37:47 GMT 2025","","test.spec.js","",""
"","3369","Check product description @Content","firefox","Wed Jan 08 00:38:09 GMT 2025","passed","Wed Jan 08 00:38:12 GMT 2025","","test.spec.js","",""
"","4897","Select currency @Crash","firefox","Wed Jan 08 00:36:57 GMT 2025","passed","Wed Jan 08 00:37:02 GMT 2025","","test.spec.js","",""
"","7435","Retrieve password @Crash","firefox","Wed Jan 08 00:38:12 GMT 2025","passed","Wed Jan 08 00:38:19 GMT 2025","","test.spec.js","",""
