"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2886","Check product description @Content","firefox","Sun Dec 08 00:43:06 GMT 2024","passed","Sun Dec 08 00:43:09 GMT 2024","","test.spec.js","",""
"","3083","Choose product with select options @Crash","firefox","Sun Dec 08 00:43:01 GMT 2024","passed","Sun Dec 08 00:43:04 GMT 2024","","test.spec.js","",""
"","3276","Change perPage @Crash","firefox","Sun Dec 08 00:42:43 GMT 2024","passed","Sun Dec 08 00:42:46 GMT 2024","","test.spec.js","",""
"","3836","Check manufacturer link @Functional","firefox","Sun Dec 08 00:42:57 GMT 2024","passed","Sun Dec 08 00:43:01 GMT 2024","","test.spec.js","",""
"","6572","Retrieve password @Crash","firefox","Sun Dec 08 00:43:09 GMT 2024","passed","Sun Dec 08 00:43:16 GMT 2024","","test.spec.js","",""
"","2467","Filter by Price on product details @Functional","firefox","Sun Dec 08 00:43:04 GMT 2024","passed","Sun Dec 08 00:43:06 GMT 2024","","test.spec.js","",""
"","4139","Choose Product in hot item @Perfomance","firefox","Sun Dec 08 00:42:53 GMT 2024","passed","Sun Dec 08 00:42:57 GMT 2024","","test.spec.js","",""
"","2848","Send post comment @Crash","firefox","Sun Dec 08 00:42:50 GMT 2024","passed","Sun Dec 08 00:42:53 GMT 2024","","test.spec.js","",""
"","3065","Select currency @Crash","firefox","Sun Dec 08 00:42:47 GMT 2024","passed","Sun Dec 08 00:42:50 GMT 2024","","test.spec.js","",""
