"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3725","Choose product with select options @Crash","firefox","Sat Jan 04 00:37:08 GMT 2025","passed","Sat Jan 04 00:37:12 GMT 2025","","test.spec.js","",""
"","10364","Retrieve password @Crash","firefox","Sat Jan 04 00:37:25 GMT 2025","passed","Sat Jan 04 00:37:36 GMT 2025","","test.spec.js","",""
"","7505","Select currency @Crash","firefox","Sat Jan 04 00:36:02 GMT 2025","passed","Sat Jan 04 00:36:10 GMT 2025","","test.spec.js","",""
"","8465","Check product description @Content","firefox","Sat Jan 04 00:37:17 GMT 2025","passed","Sat Jan 04 00:37:25 GMT 2025","","test.spec.js","",""
"","4442","Check manufacturer link @Functional","firefox","Sat Jan 04 00:37:04 GMT 2025","passed","Sat Jan 04 00:37:08 GMT 2025","","test.spec.js","",""
"","12416","Change perPage @Crash","firefox","Sat Jan 04 00:35:49 GMT 2025","failed","Sat Jan 04 00:36:01 GMT 2025","","test.spec.js","",""
"","5015","Filter by Price on product details @Functional","firefox","Sat Jan 04 00:37:12 GMT 2025","passed","Sat Jan 04 00:37:17 GMT 2025","","test.spec.js","",""
"","15073","Send post comment @Crash","firefox","Sat Jan 04 00:36:42 GMT 2025","failed","Sat Jan 04 00:36:57 GMT 2025","","test.spec.js","",""
"","5119","Choose Product in hot item @Perfomance","firefox","Sat Jan 04 00:36:58 GMT 2025","passed","Sat Jan 04 00:37:03 GMT 2025","","test.spec.js","",""
