"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3495","Choose product with select options @Crash","firefox","Wed Dec 04 00:39:40 GMT 2024","passed","Wed Dec 04 00:39:44 GMT 2024","","test.spec.js","",""
"","3512","Select currency @Crash","firefox","Wed Dec 04 00:39:25 GMT 2024","passed","Wed Dec 04 00:39:28 GMT 2024","","test.spec.js","",""
"","3168","Send post comment @Crash","firefox","Wed Dec 04 00:39:28 GMT 2024","passed","Wed Dec 04 00:39:32 GMT 2024","","test.spec.js","",""
"","6981","Retrieve password @Crash","firefox","Wed Dec 04 00:39:50 GMT 2024","passed","Wed Dec 04 00:39:57 GMT 2024","","test.spec.js","",""
"","2954","Filter by Price on product details @Functional","firefox","Wed Dec 04 00:39:44 GMT 2024","passed","Wed Dec 04 00:39:47 GMT 2024","","test.spec.js","",""
"","2930","Change perPage @Crash","firefox","Wed Dec 04 00:39:22 GMT 2024","passed","Wed Dec 04 00:39:24 GMT 2024","","test.spec.js","",""
"","4373","Check manufacturer link @Functional","firefox","Wed Dec 04 00:39:36 GMT 2024","passed","Wed Dec 04 00:39:40 GMT 2024","","test.spec.js","",""
"","4202","Choose Product in hot item @Perfomance","firefox","Wed Dec 04 00:39:32 GMT 2024","passed","Wed Dec 04 00:39:36 GMT 2024","","test.spec.js","",""
"","2964","Check product description @Content","firefox","Wed Dec 04 00:39:47 GMT 2024","passed","Wed Dec 04 00:39:50 GMT 2024","","test.spec.js","",""
