"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12044","Check manufacturer link @Functional","firefox","Sun Jan 05 00:41:40 GMT 2025","passed","Sun Jan 05 00:41:52 GMT 2025","","test.spec.js","",""
"","5707","Filter by Price on product details @Functional","firefox","Sun Jan 05 00:41:58 GMT 2025","passed","Sun Jan 05 00:42:04 GMT 2025","","test.spec.js","",""
"","16516","Send post comment @Crash","firefox","Sun Jan 05 00:40:51 GMT 2025","failed","Sun Jan 05 00:41:08 GMT 2025","","test.spec.js","",""
"","12914","Change perPage @Crash","firefox","Sun Jan 05 00:40:01 GMT 2025","failed","Sun Jan 05 00:40:14 GMT 2025","","test.spec.js","",""
"","7280","Check product description @Content","firefox","Sun Jan 05 00:42:04 GMT 2025","passed","Sun Jan 05 00:42:11 GMT 2025","","test.spec.js","",""
"","10102","Retrieve password @Crash","firefox","Sun Jan 05 00:42:11 GMT 2025","passed","Sun Jan 05 00:42:21 GMT 2025","","test.spec.js","",""
"","3834","Select currency @Crash","firefox","Sun Jan 05 00:40:16 GMT 2025","passed","Sun Jan 05 00:40:20 GMT 2025","","test.spec.js","",""
"","12600","Choose Product in hot item @Perfomance","firefox","Sun Jan 05 00:41:09 GMT 2025","passed","Sun Jan 05 00:41:22 GMT 2025","","test.spec.js","",""
"","5214","Choose product with select options @Crash","firefox","Sun Jan 05 00:41:53 GMT 2025","passed","Sun Jan 05 00:41:58 GMT 2025","","test.spec.js","",""
