"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2788","Filter by Price on product details @Functional","firefox","Mon Jan 20 00:38:16 GMT 2025","passed","Mon Jan 20 00:38:19 GMT 2025","","test.spec.js","",""
"","3831","Check manufacturer link @Functional","firefox","Mon Jan 20 00:38:08 GMT 2025","passed","Mon Jan 20 00:38:12 GMT 2025","","test.spec.js","",""
"","3328","Check product description @Content","firefox","Mon Jan 20 00:38:19 GMT 2025","passed","Mon Jan 20 00:38:22 GMT 2025","","test.spec.js","",""
"","3551","Choose product with select options @Crash","firefox","Mon Jan 20 00:38:12 GMT 2025","passed","Mon Jan 20 00:38:16 GMT 2025","","test.spec.js","",""
"","10990","Retrieve password @Crash","firefox","Mon Jan 20 00:38:22 GMT 2025","passed","Mon Jan 20 00:38:33 GMT 2025","","test.spec.js","",""
"","5336","Choose Product in hot item @Perfomance","firefox","Mon Jan 20 00:38:03 GMT 2025","passed","Mon Jan 20 00:38:08 GMT 2025","","test.spec.js","",""
"","12681","Change perPage @Crash","firefox","Mon Jan 20 00:36:58 GMT 2025","failed","Mon Jan 20 00:37:11 GMT 2025","","test.spec.js","",""
"","14055","Send post comment @Crash","firefox","Mon Jan 20 00:37:47 GMT 2025","failed","Mon Jan 20 00:38:01 GMT 2025","","test.spec.js","",""
"","4051","Select currency @Crash","firefox","Mon Jan 20 00:37:12 GMT 2025","passed","Mon Jan 20 00:37:17 GMT 2025","","test.spec.js","",""
