"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4691","Choose Product in hot item @Perfomance","firefox","Tue Jan 07 00:38:26 GMT 2025","passed","Tue Jan 07 00:38:31 GMT 2025","","test.spec.js","",""
"","13346","Send post comment @Crash","firefox","Tue Jan 07 00:38:11 GMT 2025","failed","Tue Jan 07 00:38:24 GMT 2025","","test.spec.js","",""
"","3235","Choose product with select options @Crash","firefox","Tue Jan 07 00:38:35 GMT 2025","passed","Tue Jan 07 00:38:38 GMT 2025","","test.spec.js","",""
"","12344","Change perPage @Crash","firefox","Tue Jan 07 00:37:23 GMT 2025","failed","Tue Jan 07 00:37:35 GMT 2025","","test.spec.js","",""
"","3670","Check manufacturer link @Functional","firefox","Tue Jan 07 00:38:31 GMT 2025","passed","Tue Jan 07 00:38:35 GMT 2025","","test.spec.js","",""
"","6976","Retrieve password @Crash","firefox","Tue Jan 07 00:38:44 GMT 2025","passed","Tue Jan 07 00:38:51 GMT 2025","","test.spec.js","",""
"","3662","Select currency @Crash","firefox","Tue Jan 07 00:37:36 GMT 2025","passed","Tue Jan 07 00:37:40 GMT 2025","","test.spec.js","",""
"","2558","Filter by Price on product details @Functional","firefox","Tue Jan 07 00:38:38 GMT 2025","passed","Tue Jan 07 00:38:40 GMT 2025","","test.spec.js","",""
"","3306","Check product description @Content","firefox","Tue Jan 07 00:38:40 GMT 2025","passed","Tue Jan 07 00:38:44 GMT 2025","","test.spec.js","",""
